sha1,date,name,size
835c161893f72067556464cb942c45212df810a3,2022-01-01,Grange Resources Limited,9009231
3a5d95fc4c3faf0ccfd421dad646df121e8c10a2,2022-07-31,Kin and Carta plc,6804994
683e3ebc913e900ac4b8b71c70559fc3ca77b21e,2023-03-17,Unit Corporation,1069625
1568a32427dc4c370863bd20a53c8031240ebca0,2023-01-01,OAK VALLEY BANCORP,2743812
fe4cff7e9a3b566c59c6ffb9a8652f3ad166878c,2023-03-20,WeWork Inc.,8546251
0a4501961162d7605c501b111b517b627cd2178c,2022-12-31,Fraport,17759810
86a1caef08293ff835bf1a0f66858302613d43e3,2022-12-31,Schwab,4806617
3f3020c7ae801d6fdb60071fe6a861fafbd1cc5b,2022-XX,Chegg,13912080
aedbe15db35358b5b34a801985568d0eea89f95c,2022-08-11,Mirvac Group,7762146
978f441787216038172c28d217c44f8a16fbd852,2022-01-01,Bloomsbury Publishing Plc,7250777
1f07bdd20c973f5da9390575a2a7b3388a1e1f84,2022-01-01,Liontrust Asset Management PLC,7357815
f06fa92e16710db2c1cb9cea94ae313f65184c4c,2022-12-31,O’KEY Group,4616546
c74139ce26a6f803725f5074a8a0f539abb99c09,2022-01-01,Poste Italiane,65101874
36d2f462700ce4aa71ae860da723a7d78dc1abdc,2022-01-01,Slater & Gordon Ltd,10157455
2166fce8197fcb06a1691dbe4c6371d39be92746,2022-01-01,Britvic,10689815
c6e30b160b5aac1ba720da412dd088fc3670083d,2022-12-31,Karuna,1947261
ce57a21914b56b461910ea7ee2d46174bd420ad0,2023-03-03,"Olema Pharmaceuticals, Inc.",3719822
9a0e9d502e86ab5fc0d3057388808594ee28ffa4,2022-00-00,Field Solutions Holdings Limited,3520256
e13d13f52e4223210d62106d3468748599e57e14,2022-01-01,Pacific Bank,8277144
786d500a0889ec4f8a95367ffd8e3b6b048828df,2023-03-23,"BioCardia, Inc.",598126
5e53ccacc610794f86c72476123fec86b4065a53,2022-12-31,Symrise AG,3945519
bcf6c2e9b71573a9b233a22367bb0c44f235f821,2022-XX-XX,NOVT,3640675
65af56b51f3be03148f84b9994a03b99f06456ae,2022-01-01,M&C Saatchi Plc,68326097
e6b978be305331cde51872f8ab4e153380375864,2023-02-14,"Donnelley Financial Solutions, Inc.",1257359
d66b71559be662bf1a71bf3780bb1f450863a49d,2023-03-19,"Cyclerion Therapeutics, Inc.",1320965
3563a45a6335e5468d57456f209183d8254079bf,2022-06-30,Artemis Resources Limited,9787081
f071172af82122f0816a6c572cd85a84f7153188,2022-08-31,SemiLEDs Corporation,1686494
58bd64cc8599308c1a2ac0171a97b18718e0dbe1,2023-12-31,9F Inc.,3450094
12c09a5639e7ec72fa8839e6c03b36578a1d8904,2022-07-02,Lumentum Holdings Inc.,1328996
54f162a9a0dd3a76115965da0bd96c18c8cdfcaa,2023-01-01,Central Valley Community Bancorp,10105907
14a14e8771e8cd97bd2d19d5ada534519b69554d,2023-02-14,Texas Pacific Land Corporation,878973
1364af74c56ddddaa40d229665c4a12577b0bfaf,2022-12-31,EJF Investments Ltd,4040886
2fba22f2d8cc15c1b7e67985f148582b126ae2be,2022-01-01,Donegal Group Inc.,2517361
15029bcaad797814c9795a037af5dcf91743ac72,2022-01-01,Incannex Healthcare Limited,18878954
5d9ccf35e3c69ddd9ef0f2259e11f00e873300e3,2023-02-28,"TSCAN THERAPEUTICS, INC.",3375733
8e5c673d7a6a59c95872be0c4e250c66ae778214,2023-03-30,SACHEM CAPITAL CORP.,4269014
c819c182bd3a2c23234e074900916e00bfa43df6,2022-06-30,Lachlan Star Limited,1343269
4ede5a23a81a77377ed6acdc6792f36971c4ef08,2022-01-01,China Telecom,8877353
62ccbcbf21f82f3a2708158c8857d7e3dbb58f36,2021-12-31,ELSIGHT LIMITED,3005693
1c986c1e1ffc8a4f5ff7895addc4a4b3d6f4017e,2022-09-30,"ALICO, INC.",2077777
1256067ead59df9928f397797ac955de646fafec,2022-08-22,ASX Limited,7357814
62b998042dc7f2d14318370cdae61f5d505d45f7,2022-01-01,Better Choices,15414941
11e504b7ceeea6042ad1edd82f5ab0a58c68903f,2022-06-30,Fortescue Metals Group Ltd,15457167
1c42edbe3131806a7527a954917b59af49aa7f9e,2023-02-27,"Paragon 28, Inc.",3259288
f11fe25a95589035e678b573a8510d96f2841e16,2023-02-28,"Innovative Industrial Properties, Inc.",1061416
7a0973a8be494d450aa96ec83be5a4b4510653fb,2022-01-01,Armstrong World Industries,7192551
900535ecbc86d1b888494be001c9f3f68bc0cb73,2023-06-24,VEON Ltd.,16605337
84cdb51f0fb07945fa6d662c2e72034620cc76ef,2022-08-22,EQT Holdings Limited,2128728
350ad657dac0d10b73e760a1c8046944db679d4f,2022-06-30,Western Mines Group Ltd,14743369
1300a3aa1dc5a73daf13021505c96708232d74e4,2022-01-01,Horizonte Minerals PLC,24630781
a871cca5c28c31a67a82e87cd33509d121401726,2023-01-01,Arrow,1329653
3cdc163dcf93f4156e7b75156ed4354a90f3d9a9,2022-03-31,Hansa Investment Company Limited,2133493
2bccc2e306ed92c0995d408d534f208e77848974,2023-03-10,"Avinger, Inc.",1750930
328acff8fc4b3380b23d71a7407ca51d55411b48,2023-01-01,United Internet AG,9287036
73071fb24e8d9a3e633f6bad215d5969f20fe16b,2022-01-01,Harland & Wolff Group Holdings plc,11594762
b144d874cfb1c9bba2ce996d6a6b748d0c0796e6,2022-06-30,Pilbara Minerals,12850320
0b723fe0c4f13a36c86e9be0b227d3b5dbacf74d,2022-12-31,Jervois,8569033
9b5513078bae314a2eccc5e12e519c67f93e102a,2022-12-31,MTR Corporation,10575539
b5e21ae0ae465b797f521b8823840a6397327da0,2022-01-01,Do IT with Spirit,7699632
5eaf541bd621f316c7de9fc5d75930da0a2a7078,2022-01-01,Perpetua Resources,6481964
d4b0627f3c41fcbb1238c35380ec87a6de1638c1,2022-06-30,Calidus Resources Limited,12961398
103697b7f42a563e2ee70e3a78dcb735851ab34e,2022-01-01,A. O. Smith,16951240
3baa4ecb6f44653af909a3043fee56e1e0f0b902,2022-01-01,LXP,2227335
17e3569c83e7d4d5924f80a6d9e1380142705636,2022-01-01,Alumasc Group plc,3632474
60821b5cbb70be88bc48f27756460b199b38e561,2022-06-30,MoneyMe Limited,3847210
26b4de07cf9f70f1f5a4e28416baa4471033a1b3,2023-02-17,Sunrun Inc.,2068855
d42e30bf91a88bc79be20ad27ab74a7b72607cd4,2023-04-14,"Alvarium Tiedemann Holdings, Inc.",1742922
510a2c85706ccc38d578336dc277b58f3338d3ab,2022-01-01,Sensirion Holding AG,4484456
9abc0e53e0aad523c2fb30e4b4ae4988f8b9ffe7,2022-01-01,PACIFIC SMILES,2654885
25cee4edcce42c8a614ce4f944eb99e039abd3c3,2022-10-01,FAR Limited,10354978
4749df088486acc3064ab68991045f43f73f44bb,2022-12-31,B.P. Marsh & Partners Plc,5487468
0d0ab469404ad232a7725a24b569812d70a8f081,2022-03-31,Worldwide Healthcare Trust PLC,6381395
352f97eeddfbcae0f8af74048ed30a13b6c9b580,2022-01-01,Victrex PLC,5813824
92410d92ff65c34e9b9856ab03ed3091baf1af11,2023-02-10,Envista Holdings Corporation,1865949
826b0275c3c204dde3b9875e2c86bf91cbeaceea,2023-01-31,SSR Mining Inc.,2412850
ca233df302d1b7757bc3b336f2a4a7342a4de8fa,2023-03-21,BELLUS Health,45720
1b70b5bfac74f4d574659285ae233c6597053153,2022-12-31,Hess Corporation,22660118
1be9b7643b0f45fd58531799d39cf0b1e90e731d,2023-12-31,"Cornerstone Building Brands, Inc.",2624838
681f74678f2a4808a3b1253afec8187b9d04b3ae,2022-01-01,ABM Industries,8552059
60bcc0788f60175a2f0231ec804e201cf86c9989,2023-01-31,"Signify Health, Inc.",1926979
5bf4f30b265a4cc0b1e53ccb2c8d37be712724df,2022-03-31,Adams PLC,230640
7777c83cefa92e237fc0c888eb4ddcb477cc9368,2022-01-01,Royal Philips,7424107
7a85687868f76a59d4408dcfca28e8e3a6bf9566,2023-02-15,"Instructure Holdings, Inc.",1488952
dff9fdecdd8cd1b2eecedb82b0551a80ad452d12,2022-01-01,"Everest Re Group, Ltd.",11707211
6cf250528df3e2966e364bbfb778865742e61a00,2023-02-27,READY CAPITAL CORPORATION,2751508
fbdb2b9a2ceff62326c6fc5c78dccece40422665,2023-12-31,Innovid Corp.,954104
f828f885e8a65cacd0ec84ad86d33ab5498edc6a,2022-00-00,Cochlear Limited,6634815
132ee8e01f9814df8882e76a38d3a9eb269590d6,2022-01-01,ROCKWOOL Group,5947503
86dcfca3183070a68aa4c56bd8bd577dd455a22b,2022-06-30,Sultan Resources Limited,2182251
f9ba49b4135752ab31fff5ff1fd336e221abdb5f,2022-12-31,Heartland Express,2032088
08eb6fa2efb77f22538623c9e7f407e0c84f2b61,2022-10-30,Broadcom Inc.,769043
301ff2a0579248bd5e42f6b65fc7ea8755bc6355,2022-01-01,RGS,7295117
e23997532916b4b6c3526a42c86edc6f63bf22dc,2022-01-01,Inditex,37051624
6d72ac185b4f3526dcf3386e974b5d71526f04a7,2022-08-24,Ardent Leisure Group Limited,2118645
5f29074bccff640c3301bcd0218f6c8cac03df21,2022-12-31,Safehold,1909144
601a739460cd316fcc17ddb350ea2b5e12a55035,2022-03-15,BARRICK GOLD CORPORATION,11409116
d5d85ff4091c10c8b2eb61d3ae5bc16fbe27ccf2,2022-12-31,CAP-XX Limited,1098384
ced46fb12f09e4574b8883b7815ea08329974b13,2022-11-30,Byrna Technologies Inc.,5218441
fc162f89b2f1c30065315e108f457e0314ebd250,2023-03-31,Valneva SE,4448742
b3ec93470b9859563015fd2692c2f6fcf9429b64,2022-01-01,Carlyle,12459828
b14867e9502737e37dbcbdba9a84f38af2564fef,2023-12-31,DISH Network Corporation,2325320
2593a5df1e69cc4fab6df6c975a63e77d32c776b,2023-01-31,"Workday, Inc.",1538676
4395a8bc92b0bdf2c0eda0c64472a20535edea67,2023-02-22,"OMNICELL, INC.",535741
36241c8700e50d3bed1bfd8e487e145fe60b4ff3,2022-01-01,OCL,4875871
8843887dff393823d1c3dc5d9013253fbcdbcec7,2023-04-26,Drive Shack Inc.,593964
db970f5c46e886a6410a645f239ed74c9cfc330e,2022-01-01,CPPGroup Plc,2757234
5ff99edeeb5de04b9035f0cf9543633670d12578,2022-10-26,Codan Limited,4654427
6e9b15bce76cc9e7916f4cc4d39bafe321f102a2,2022-12-31,XP Power,13210950
3ae5ef7d67f525ee399670163340d34903c25198,2022-XX-XX,OPG Power Ventures Plc,13056935
ca6a3088ef7b09d9ecdae339830bcff1006cf325,2023-03-08,MEIRAGTX HOLDINGS PLC,2902149
c4d651a57c31e471aec5bf22c2b63a72af09c7b5,2023-03-10,TELOS CORPORATION,1307422
0ede09d20299d360619a0f741574e2f1aac2574a,2022-00-00,Halma plc,10864182
0e6f2e99efec4eeea2f3c8edd0cd66289c291ce7,2023-02-24,THE BRINK’S COMPANY,1412932
3abd4bbf4510b3efab7e3a3b467c0a0b341616ca,2022-12-31,Fangdd Network Group Ltd.,2826144
db2103f369c39d1e9431c39871e5c5ed225a679b,2022-01-01,Jamf,2381830
0510310c27b064770bafc26cd9ee3a4a839d51a0,2022-03-31,HERMES PACIFIC INVESTMENTS PLC,553715
7fdc0bf92cd7597619161bf9704ed27a99cd4d0a,2022-01-01,Neogen Corporation,3265707
16f076cca595ecf87cb81e45c165ddd7550ccc76,2023-12-31,UP FINTECH HOLDING LIMITED,3695770
1a8c9b17e4a3eee3b544523766449105e1034eee,2022-06-30,Pointerra Limited,4073162
b18edf3f26ef361f60bf7dac7ce747bd581bba3f,2022-08-31,Wide Open Agriculture Limited,1488131
7fe23fe5ba80872c0ab47495d7328ef04735f3c3,2023-03-24,"FG Financial Group, Inc.",941416
12f5bf509b58fa45b3a5e42a46489222d00f7673,2022-02-25,Entasis Therapeutics Holdings Inc.,1148751
2c84c6a038358ea560215c445b09d29796897154,2023-12-31,"Shockwave Medical, Inc.",1731277
adcce0681dfb424ff7f76a23e6317438c7f4764b,2023-01-31,"CrowdStrike Holdings, Inc.",4305845
dc2165d7b7e79e043200fcb1aff42e2ec498fa5c,2023-03-16,"Capricor Therapeutics, Inc.",1377998
b679935124ea70d895cef64486beb9d260875af1,2022-01-01,Sage,9153061
a6772e8b02c5f1896321a699f94f388f16b1d328,2022-12-31,Richards Packaging Income Fund,2204816
c52c06b65e91eafb58efe423e928df311dc26e27,2022-06-30,Seafarms Group Limited,888217
da663e46fbf02ec8a90b3f3c1079ef4c9f7907e1,2022-01-01,Albany International,1582154
5007ba9d29924fd5456317288e263be63f6f2710,2023-02-16,NatWest Group plc,8744333
ada4f53625dacc7eaf99a34999777a05914e7a33,2022-01-01,Picton Property Income Limited,11656895
7a801f9725fbe9ffe5a5cd5bd7dad860428c6493,2022-01-01,Crown Crafts,102436100
11f812f6f70d8943d0a5710dba332fbe2ed30ce2,2022-01-01,Maggie Beer Holdings Ltd,6392441
bd4adbfc37f5b1f26a7cf7483d079ccf6cc653ae,2023-03-08,"Anika Therapeutics, Inc.",890423
4c6f7557be1aac3bec055ae0cdbf40441fab1a53,2023-02-10,Fresh Del Monte Produce Inc.,5740774
2ad89fae3f38f2f031f971d44e7541b97123eb7d,2022-03-31,"Motorcar Parts of America, Inc.",807065
4a1da76f513a0f650c1bd6f25b3cb17bed886109,2023-04-18,Novavax,7954829
c2ab32dbb4900d332c6ee2e3c3624d2ca7b5986d,2022-12-31,City Holding Company,1338100
7e06df28f5a75e769d0c62a364f5529f86a9f07e,2022-01-01,Berkeley Energia Limited,6864686
f32af68e21ed9110f727ed2fcceda28a2e0ef44d,2022-01-01,Ambertech Limited,4746104
2202c3dcc2d96b1639c7ccc19ca7f9cf5869c84d,2023-01-31,"Collegium Pharmaceutical, Inc.",1462314
9c0a067b5f48afb63f451a682ef8d771f465d42c,2023-02-24,"ESS Tech, Inc.",1464652
3348e21e03118df3eb047f556082c02351fe77b7,2023-01-01,Watchstone Group plc,456378
11b4fddca987813a234e7bc3efaa3dc3fcaede5b,2022-01-01,Assembly Bio,2910923
9839719ef450ddf3ca35b5e11b24af37335f98d9,2023-03-31,Seanergy Maritime Holdings Corp.,772982
e4a63dbbbb9347a9aa90d691ccaa1a772f1b6be7,2022-01-01,Pental,10613404
4ad281a96e2573f3cc2bcce9b77fc34a710790f2,2022-10-30,TC Transcontinental,10423230
4cff6e174c83a62e0e003b7a199b4f32b2964f40,2023-01-01,Compass Diversified Holdings,4954736
f7c145772df6dd7924d5de9c5a8bba3bbb231f91,2022-01-01,WEX,22936538
dd36805cba9007b6f74f3fe523f419d617d476bc,2022-03-31,LSE_MANO,2069934
f75ff9d631e7efdb86db68ab8ba395de221d9019,2023-02-08,Nevro Corp.,1795154
dd0c16c1c8e9415784518601a1163731550211c1,2022-01-01,Clene Nanomedicine,9556131
12bff07b957b1c8f8cad9d917ca18005720cce9b,2022-01-01,MOZ,13100840
e1d24e72ce5b571cf64f1a2e2658a5eccff0d9a7,2023-03-29,"Instil Bio, Inc.",15593114
8550a9269eddaa87256bed1b625acfd1347e07d6,2022-01-01,Donaldson,4016851
4b7cef41adef252c2b0e97963863fe8b4ecb9c41,2023-03-23,WidePoint Corporation,1351706
aeada98b92d55223794e5b75ba2ddfcd24e8d94f,2023-03-06,"Airgain, Inc.",6131151
500e8afc2d5cf4dd8e2778c5b1c8a104c8dee0a4,2022-12-31,Urban Edge Properties,1076155
74ce3bfbbfde98525c53c4782781b909d2da7b0e,2023-03-29,"ELEDON PHARMACEUTICALS, INC.",1578882
689a66301100c491dc0b56bfc4152ecf5f358137,2023-02-14,"Choice Hotels International, Inc.",1738909
b1a25cfe5b1da7a2aaf6cc679bb9c8dc0064290b,2022-01-01,RioCan,5718833
55551c9cc5e653ac7fb6ad2ab982ddf08adb4cb1,2022-12-31,Lavazza,5385378
f8d7cad456e8017b2addaaab243c2557e09fc55f,2022-01-01,MLX,1846366
cb90d5155a279d3e38a578a4a2a3fac4bf0cba95,2023-03-07,"iTeos Therapeutics, Inc.",2016717
8b812dedb7b29d3d976a5d099f0272bf982396b0,2022-01-01,CF Bankshares Inc.,994064
7779bb1b1a50bed1a7374bb6607004a9b01ae0bd,2023-02-23,"CEVA, INC.",1928462
ba88611a3f67eb9938a7646f6fbed37c1eb6374c,2022-06-30,Skin Elements Limited,3311573
de31930921bae7a13457aa0f4d4937a9a9126908,2022-11-22,IVE Group Limited,12187486
9622e1922fe10ec223b9286bf8eb956be5eb9f1b,2022-06-30,CSL Limited,6045943
ed42310834623b758800fb0286c997e44ccc6bd0,2023-02-28,"RIGEL PHARMACEUTICALS, INC.",7037283
7aae3f97ea8422bc68b38d83f9b2fe6a95517648,2022-12-31,Chariot Limited,24469806
87dd9c1777c35added595ccc0b305368d80a087b,2023-03-21,FOXO TECHNOLOGIES INC.,930337
eac04c931e82725a363b59f93171d69b3c6efb7d,2023-03-14,Envela Corporation,468865
2957d849d0b4eb13798d9d38c9482b72a00dbc55,2022-12-28,Shake Shack Inc.,16603669
950e638214a4854ea92366a468aef8d43af8fb72,2023-03-10,"ACORDA THERAPEUTICS, INC.",2176006
6c585c541abe41d8ceefedc7c07c25a0fd30e645,2023-03-20,"TYRA BIOSCIENCES, INC.",3515386
51b3a46574cb7ef3b6935a44c25fe0ab39eb748e,2023-02-21,"Travere Therapeutics, Inc.",2280432
57d4d74f7e8eea6ef303241d60fd07733e1bdec2,2022-01-01,THE CHEMOURS COMPANY,7178722
216ca18131814e7c3dc800243b5b7c63cf1732b7,2022-01-01,ING,29743831
a181d3bb40c81301147d472f4a7deca35479cf42,2022-01-01,Beston Global Foods,3808606
bbaf6cf9ecadb943ba140e1a700d4e5b2ec01f0c,2022-01-01,"CBIZ, INC.",2802354
bab7f46e6cb99d82a7d6ec347c232691d64f20e1,2023-03-01,"AEVA TECHNOLOGIES, INC.",977075
14016d4058a18e3b1d76d8469545d233be2b85c3,2022-12-31,WAGNERS HOLDING COMPANY LIMITED,2518263
d8432403bab6b2854dd87d930a1ac4779ff60fa3,2022-01-01,AMCIL Limited,2849576
3e28cd2c3ac0ae60b50a57b81a88abba416be2c1,2022-01-01,Costa Group Holdings Limited,4666174
aa4f88f9b31ba59d1e430e86d1cf9b7229635079,2022-01-01,Dynex,1182155
6d07ab9dafc2669779bd6e79cce5cdf61e7c72f8,2022-09-28,Terragen Holdings Limited,2627601
22bca7407bda6233218ebeb677ebf46042e22e66,2023-06-30,Edenville Energy Plc,970645
d1f6b7455d55ac8ac20d19277e1fb29c0f84c958,2023-02-24,Inter-American Development Bank,1602053
f21380e4127e0e9f24c267b125a780b3ff73b336,2022-03-31,Zumtobel Group,5127944
f6a1077a46cb36761604f8f4840698e22837f5f7,2022-01-01,AER,15411656
c7c0a0ece06d366d2a23b01db71827751cc732d0,2022-08-31,"ShiftPixy, Inc.",2431687
da50777b2386b9bedb979c40ead254278c7c33a8,2022-01-01,Jazz Pharmaceuticals plc,2546591
83ef4f476ea344d3f93b05edc23c225ddbb6d780,2023-03-27,Argosy Minerals Limited,1464656
7929657c7359464b8871b5058873a38c64927561,2022-03-31,LSE_TEP,2942961
7e9bfbed3430c26fdeb37441280868ab1b33a02d,2023-12-31,Western Forest Products Inc.,643950
ad0bd657b3b4e27f0d0c91b81fba015e9731d34e,2022-06-30,Strategic Energy Resources Limited,2336471
ec810d5757ad200c7e8df0eabbbd3c4c16217382,2023-01-27,Autoliv,7775106
0dfcced08052ae13739301b611e8e19152e30130,2022-06-30,Queensland Pacific Metals Limited,1167268
c894c1dc1270fb4865485b1ed3fc4eec67dca8ae,2022-08-31,Pure Cycle Corporation,4545820
325fa25f0775d9968cb8edd43326ad44cc73e6e0,2023-03-15,BOWMAN CONSULTING GROUP LTD.,1060989
f24828b118ff7d1e3682ac7cce054c7e0d033996,2022-01-01,DHC,1749526
fc8d0e1acbd04e286364278160f65d1ffb6c8c34,2022-12-31,PMP,7294227
78c1a92dc23cc3cd44cce96f4438f202b57c721d,2022-01-01,Banner Corporation,3746395
2a417a7e2930295e5a6df8b04afc7d5bddfe0b8b,2022-01-01,Salzgitter AG,5164265
37746592234b4bdfbfe08701b27c95d1711b12e3,2022-10-19,ReadyTech Holdings Limited,2083065
9a91bde2f880c5d9870f93ebc0d0721942e104c0,2023-02-24,"Summit Midstream Partners, LP",50405145
d39df020e06491a13d33be6bb38dad21ccd13617,2023-03-24,"NeuroBo Pharmaceuticals, Inc.",1430951
445490bbb95747a8db01a902e9f1ffe556f34e77,2022-01-01,Austevoll Seafood ASA,7148401
3ac49270eb2959bce4a05ec3cbaa1ab36700290d,2023-12-31,Brookfield Infrastructure Partners L.P.,5106029
c3ad0b5a49dc7290f69aea3d6997f4d8c2745681,2022-06-30,Oliver’s Real Food Limited,1945364
70b0647ea395c061930d64a37c6281fdd0d43f1e,2022-01-01,SEI,1759852
9b61618267621a216e4bfab5394e11f994d14fda,2022-01-01,RHI Magnesita,9238154
9cca7e7e9a2d7a6c2cabad46f57609b4cd41519d,2022-01-01,INOVIQ Limited,1918945
74dedc83494358ebe3f6bab50953a4732be43b2c,2023-12-31,Gaotu Techedu Inc.,1608341
6eee316423814d2b29b1d93ab5a2741ec419faa8,2023-05-17,EDAP TMS S.A.,4490984
733b150c0190a20b23b7e4047f3a161620d9781a,2022-01-01,URU Metals Limited,1012812
063ea2af2aac67da1ed11b00fed49b3f343e63f1,2022-01-01,Alimentation Couche-Tard,8465481
521622221de94ea0d73a63744367d78480cef490,2023-02-28,"Embark Technology, Inc.",1227857
b4e34f89757ace8d233e7e4559ed49441a603cf9,2023-02-28,"AudioEye, Inc.",839352
c1c439e6b2384c40c41d12e5be97f719b8edb813,2022-01-01,ANDRITZ GROUP,7446481
7ae280ca1d9560637e8bbace280e3d670275061b,2022-12-31,SABIC,10621820
8467b7fce0d860b56e30c79d253d0bb5e9a32e95,2022-01-01,"Bridgewater Bancshares, Inc.",2834077
882b2e32016ee6ecae863cd2263ef6e7f8223028,2022-06-30,Victor Group Holdings Limited,1729877
c9d29a143898e2b481b6f14a4f4f379619098545,2023-04-14,"XCEL BRANDS, INC.",1603206
11037211b0426d5eb8078e7456df804eb338b063,2023-02-28,"Coherus BioSciences, Inc.",2079715
c96896933ced0c039c9d88fcc826591230445a8b,2022-01-01,DHR,13536264
6d76ccb75bbf1b27ca60b8419c5343ac050cebb0,2022-06-29,SEIKO EPSON CORPORATION,2789483
1c9fd681c8e3f936bd7cf6ba7345e87a5527d23e,2023-03-03,"IDEAYA Biosciences, Inc.",2239923
daddbac960563feaf60c30417f20b4731255b16e,2022-06-30,Mustera Property Group Ltd,824090
8b7c927110f130d642f80d20e52aa7861d368059,2022-01-01,Credit Acceptance,2384339
ac3e3d2fc22cdec93c25889a693b5cfd3f893880,2022-01-01,McCormick,9302676
856d80e6e3cb2da666d2f57616791c4cb3e00e79,2023-03-02,Applied Molecular Transport Inc.,2124044
7f96b6da4d7b54b3ff8deb649015122582ac806f,2023-02-16,"1stdibs.com, Inc",1206020
074e323936ae9087034c1172b065907bbc11056d,2022-01-01,Castellum,9529226
fe95a33519550f12a3d4df74bc313c472cb87712,2022-01-01,Mitie Group plc,7814366
74c690176ce433301f4d1e808bb002a2f4dc321a,2023-02-28,"Kiniksa Pharmaceuticals, Ltd.",1874818
6c6f97b0b13fac232304cd12682c42e6e50e4514,2022-12-31,"Alexandria Real Estate Equities, Inc.",17411340
cc906caa982261f28ae81698aaa4c6b70ab05e82,2022-12-31,"Mueller Industries, Inc.",1097463
a02f3235a28cac739941e550b7eea29602c4e0cf,2022-01-01,BRO,29035678
cf1db3200efa3369e5bebc33a8fdbaa8d98bf2bc,2022-01-01,CAMP,5519949
2d2927f8ecc74f57a6d259672ea9d6054bfcecda,2022-06-30,Mach7 Technologies,12490740
be499ca56a7515e2f70bf0d4f4726800c22d3584,2023-01-01,LSE_EXR,1115095
a569c24dd7efd55fc3ab1fdb993894c8e6f9664e,2023-02-16,"Genworth Financial, Inc.",9334606
35c5b0975c05b81d82d287b545518f0e59643b7d,2022-06-30,Painchek Limited,1928405
d81bbc64a4160b9946fea7a895f80e6201f52f27,2022-11-23,Air Products,4889969
3cf0d2c4ef6a895877f5e396aa0352fc46d107f7,2023-03-29,"SIGMA ADDITIVE SOLUTIONS, INC.",6314158
2b9f55b440c8bf7001fc3bcfac626dbcfbbb558a,2022-12-31,Henkel AG & Co. KGaA,7923555
727f06325dbe2037859410ad1dc89d3153b61271,2022-01-01,Hongkong Land Holdings Limited,9777564
22e409a6722b292a6c73405fdff7bd317f002159,2023-12-31,QIAGEN N.V.,3720970
3d1254e952f77294c302c48c59e7c1ffd052542e,2023-02-16,ACCO Brands Corporation,1201525
0a3a147a59a9e84dae719492d950ea194e09ab06,2023-02-28,Arbutus Biopharma Corporation,1281791
644c5ebd17d7a0f7a75815184a1b7f64a80cdf8b,2022-XX-XX,Generation Development Group,8610698
cacbdf7116c0cb71cc7ef6b77d3e9d8555326fd6,2023-03-14,Alpha Bank S.A.,9656118
cf2e81017e8aaf460a614e1db59f913af5fe8728,2023-01-31,Liberty Global plc,2923148
0541df4281675ba606b2bbb2c8e4494cd210d973,2023-03-21,"Lument Finance Trust, Inc.",1408839
5f3e8a5469029583dfa5e0e20820816a6be0bc03,2022-01-01,NiSource Inc.,8483714
a1fe3d58df764735d304b1b476c3a7b063d7bc81,2023-04-07,Nuwellis,3091307
e3110b0ce8683a5f5bd5c3b166369aa0c41e20c8,2023-03-31,BASF India Limited,2456629
733ac2c2f42edc0b0661e4de5951b9c78f6d69a8,2022-01-01,Compass Group PLC,7273568
